Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (4-byte)* (kPa absolute),Mass Airflow (g/s),Throttle Opening Angle (%)
0,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.56,36352,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
104,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.57,36736,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
209,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.59,36416,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
312,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.58,36480,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
415,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.55,36352,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
521,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.57,36736,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
624,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.59,36352,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
728,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.57,36480,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
832,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.56,36544,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
935,0.00,0.00,0.00,0.00,712,11.52,7,33,1.44,0,15.57,36480,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
1039,0.00,0.00,0.00,0.00,712,11.60,7,33,1.44,0,15.82,37888,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
1143,0.00,0.00,0.00,0.00,712,11.60,7,33,1.44,0,15.56,36480,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
1247,0.00,0.00,0.00,0.00,712,11.60,7,33,1.44,0,15.55,36544,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
1351,0.00,0.00,0.00,0.00,712,11.60,7,33,1.44,0,15.57,36480,50.0,0.0000,0.00,0.0000,100.00,0.00,26,95.16,3.18,6.27
1455,0.00,0.00,0.00,0.00,712,11.60,7,33,1.44,0,15.58,36352,50.0,0.0000,0.00,0.0000,0.00,0.00,26,95.16,3.18,6.27
1559,0.00,0.00,0.00,0.00,712,11.68,7,33,1.44,0,15.57,36480,50.0,0.0000,0.00,0.0000,0.00,0.00,26,95.16,3.18,6.27
