Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (psi absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
104,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
208,11.60,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
311,11.60,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
416,11.60,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
519,11.60,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
623,11.60,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
727,11.60,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
831,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
935,11.68,7,1,41,1.39,0,0.00,65472,13.80,0.00,0.0000,0.00,0.0000,100.00,0.00,25,2.97,5.88,0.0000
