Time (msec),Engine Speed (rpm),Atmospheric Pressure (mmHg),Battery Voltage (V),CL/OL Fueling* (status),A/F Correction #1 (%),A/F Correction #2 (%),Fuel Pump Duty (%),Intake Air Temperature (C),Mass Airflow (g/s)
0,0,720,10.96,7,0.00,0.00,33.33,21,3.53
38,0,720,10.96,7,0.00,0.00,33.33,21,3.53
76,0,720,10.96,7,0.00,0.00,33.33,21,3.53
113,0,720,10.88,7,0.00,0.00,33.33,21,3.53
152,0,720,10.88,7,0.00,0.00,33.33,21,3.53
190,0,720,10.96,7,0.00,0.00,33.33,21,3.53
228,0,720,10.88,7,0.00,0.00,33.33,21,3.53
266,0,720,10.88,7,0.00,0.00,33.33,21,3.53
304,0,720,10.96,7,0.00,0.00,33.33,21,3.53
342,0,720,10.96,7,0.00,0.00,33.33,21,3.53
380,0,720,10.88,7,0.00,0.00,33.33,21,3.53
418,0,720,10.88,7,0.00,0.00,33.33,21,3.53
456,0,720,10.88,7,0.00,0.00,33.33,21,3.53
494,0,720,10.88,7,0.00,0.00,33.33,21,3.53
532,0,720,10.88,7,0.00,0.00,33.33,21,3.53
570,0,720,10.88,7,0.00,0.00,33.33,21,3.53
608,0,720,10.88,7,0.00,0.00,33.33,21,3.53
645,0,720,10.88,7,0.00,0.00,33.33,21,3.53
684,0,720,10.88,7,0.00,0.00,33.33,21,3.53
721,0,720,10.88,7,0.00,0.00,33.33,21,3.53
759,0,720,10.88,7,0.00,0.00,33.33,21,3.53
798,0,720,10.88,7,0.00,0.00,33.33,21,3.53
835,0,720,10.88,7,0.00,0.00,33.33,21,3.53
873,0,720,10.88,7,0.00,0.00,33.33,21,3.53
911,0,720,10.88,7,0.00,0.00,33.33,21,3.53
949,0,720,10.88,7,0.00,0.00,33.33,21,3.53
987,0,720,10.88,7,0.00,0.00,33.33,21,3.53
1026,0,720,10.96,7,0.00,0.00,33.33,21,3.53
1063,0,720,10.96,7,0.00,0.00,33.33,21,3.53
1101,0,720,10.96,7,0.00,0.00,33.33,21,3.53
1139,0,720,10.96,7,0.00,0.00,33.33,21,3.54
1177,0,720,10.88,7,0.00,0.00,33.33,21,3.54
1215,0,720,10.96,7,0.00,0.00,33.33,21,3.54
1253,0,720,10.88,7,0.00,0.00,100.00,21,3.54
1291,0,720,10.96,7,0.00,0.00,100.00,21,3.54
1329,0,720,10.88,7,0.00,0.00,100.00,21,3.54
1367,0,720,10.96,7,0.00,0.00,100.00,21,3.54
1404,0,720,10.88,7,0.00,0.00,100.00,21,3.54
1444,0,720,10.96,7,0.00,0.00,100.00,21,3.54
1482,0,720,10.96,7,0.00,0.00,100.00,21,3.54
1519,0,720,10.96,7,0.00,0.00,100.00,21,3.54
1557,0,720,10.32,7,0.00,0.00,100.00,21,3.54
1595,0,720,6.48,7,0.00,0.00,100.00,21,3.54
1634,0,720,7.04,7,0.00,0.00,100.00,21,3.54
1671,0,720,7.44,7,0.00,0.00,100.00,21,3.54
1709,0,720,7.68,7,0.00,0.00,100.00,21,3.54
1747,0,720,7.60,7,0.00,0.00,100.00,21,3.54
1785,0,720,7.52,7,0.00,0.00,100.00,21,3.54
1823,0,720,7.92,7,0.00,0.00,100.00,21,3.54
1861,0,720,8.32,7,0.00,0.00,100.00,21,3.54
1899,0,720,8.56,7,0.00,0.00,100.00,21,3.54
1937,0,720,8.56,7,0.00,0.00,100.00,21,3.54
1975,0,720,8.24,7,0.00,0.00,100.00,21,3.54
2013,0,720,7.76,7,0.00,0.00,100.00,21,3.54
2051,0,720,7.68,7,0.00,0.00,100.00,21,0.00
2088,0,720,8.16,7,0.00,0.00,100.00,21,0.00
2127,0,720,8.56,7,0.00,0.00,100.00,21,0.00
2165,0,720,8.80,7,0.00,0.00,100.00,21,0.00
2203,0,720,8.00,7,0.00,0.00,100.00,21,0.00
2241,103,720,7.92,7,0.00,0.00,100.00,21,1.61
2279,103,720,8.32,7,0.00,0.00,100.00,21,1.61
2317,116,720,8.64,7,0.00,0.00,100.00,21,1.61
2354,244,720,8.88,7,0.00,0.00,100.00,21,3.79
2393,429,720,9.04,7,0.00,0.00,100.00,21,6.82
2431,506,720,9.20,7,0.00,0.00,100.00,21,7.91
2469,719,720,9.36,7,0.00,0.00,100.00,21,11.62
2507,805,720,10.00,7,0.00,0.00,100.00,21,13.25
2545,928,720,10.32,7,0.00,0.00,100.00,21,14.93
2583,1013,720,12.48,7,0.00,0.00,100.00,21,16.11
2621,1076,720,12.96,7,0.00,0.00,100.00,21,16.93
2659,1122,720,13.28,7,0.00,0.00,100.00,21,17.32
2697,1171,720,13.36,7,0.00,0.00,100.00,21,17.59
2734,1194,720,13.36,7,0.00,0.00,100.00,21,17.51
2773,1202,720,13.28,7,0.00,0.00,100.00,21,17.05
2810,1153,720,13.36,7,0.00,0.00,100.00,21,16.66
2848,1217,720,13.52,7,0.00,0.00,100.00,21,16.40
2886,1224,720,13.60,7,0.00,0.00,100.00,21,15.97
2924,1154,720,13.68,7,0.00,0.00,100.00,21,15.48
2963,1207,720,13.68,7,0.00,0.00,100.00,21,15.20
3001,1202,720,13.68,7,0.00,0.00,100.00,21,14.74
3039,1196,720,13.68,7,0.00,0.00,100.00,21,14.42
3076,1183,720,13.68,7,0.00,0.00,100.00,21,14.05
3114,1170,720,13.68,7,0.00,0.00,100.00,21,13.71
3152,1156,720,13.76,7,0.00,0.00,100.00,21,13.43
3190,1150,720,13.84,7,0.00,0.00,100.00,21,13.04
3228,1134,720,13.84,7,0.00,0.00,100.00,21,12.63
3266,1122,720,13.92,7,0.00,0.00,100.00,21,12.43
3304,1102,720,13.92,7,0.00,0.00,100.00,21,12.32
3342,1151,720,13.92,7,0.00,0.00,100.00,21,11.98
3380,1073,720,13.92,7,0.00,0.00,100.00,21,11.63
3418,1062,720,13.92,7,0.00,0.00,100.00,21,11.53
3456,1052,720,14.00,7,0.00,0.00,100.00,21,11.24
3494,1034,720,13.92,7,0.00,0.00,100.00,21,11.02
3532,1087,720,14.00,7,0.00,0.00,100.00,21,10.95
3570,1016,720,14.00,7,0.00,0.00,100.00,21,10.70
3607,1006,720,14.00,7,0.00,0.00,100.00,21,10.50
3645,999,720,14.08,7,0.00,0.00,100.00,21,10.46
3683,986,720,14.08,7,0.00,0.00,100.00,21,10.31
3721,972,720,14.08,7,0.00,0.00,100.00,21,10.17
3759,966,720,14.00,7,0.00,0.00,100.00,21,10.21
3797,957,720,13.92,7,0.00,0.00,100.00,21,10.17
3835,951,720,13.92,7,0.00,0.00,100.00,21,10.20
3874,949,720,14.00,7,0.00,0.00,100.00,21,10.14
3912,942,720,14.00,7,0.00,0.00,100.00,21,10.09
3950,940,720,13.92,7,0.00,0.00,100.00,21,10.14
3988,937,720,14.16,7,0.00,0.00,100.00,21,10.08
4026,938,720,14.16,7,0.00,0.00,100.00,21,10.17
4064,932,720,14.16,7,0.00,0.00,100.00,21,10.07
4102,930,720,14.16,7,0.00,0.00,100.00,21,10.11
4139,934,720,14.00,7,0.00,0.00,100.00,21,10.21
4178,926,720,14.00,7,0.00,0.00,100.00,21,10.09
4216,924,720,14.00,7,0.00,0.00,100.00,21,10.15
4253,921,720,14.16,7,0.00,0.00,100.00,21,10.17
4291,921,720,14.16,7,0.00,0.00,100.00,21,10.24
4330,921,720,14.24,7,0.00,0.00,100.00,21,10.17
4367,920,720,14.32,7,0.00,0.00,100.00,21,10.23
4405,922,720,14.32,7,0.00,0.00,100.00,21,10.26
4443,920,720,14.08,7,0.00,0.00,100.00,21,10.26
4481,919,720,14.16,7,0.00,0.00,100.00,21,10.27
4519,918,720,14.08,7,0.00,0.00,100.00,21,10.25
4557,916,720,14.24,7,0.00,0.00,100.00,21,10.30
4595,918,720,14.24,7,0.00,0.00,100.00,21,10.32
4633,916,720,14.32,7,0.00,0.00,100.00,21,10.33
4671,921,720,14.40,7,0.00,0.00,100.00,21,10.38
4709,912,720,14.32,7,0.00,0.00,100.00,21,10.57
4747,907,720,14.24,7,0.00,0.00,100.00,21,10.64
4786,905,720,14.16,7,0.00,0.00,100.00,21,10.80
4824,892,720,14.24,7,0.00,0.00,100.00,21,10.77
4861,890,720,14.24,7,0.00,0.00,100.00,21,10.89
4899,893,720,14.48,7,0.00,0.00,100.00,21,10.96
4938,900,720,14.48,7,0.00,0.00,100.00,21,11.19
4975,884,720,14.24,7,0.00,0.00,100.00,21,11.01
5012,884,720,14.16,7,0.00,0.00,100.00,21,11.12
5051,878,720,14.08,7,0.00,0.00,100.00,21,11.16
5088,866,720,14.24,7,0.00,0.00,100.00,21,11.13
5126,860,720,14.48,7,0.00,0.00,100.00,21,11.15
5165,864,720,14.48,7,0.00,0.00,100.00,21,11.20
5203,865,720,14.16,7,0.00,0.00,100.00,21,11.14
5241,844,720,14.16,7,0.00,0.00,100.00,21,11.00
