Time (msec),AVCS Normal Output Duty Bank 0 (D2WD610H diagnostic)* (%),AVCS Normal Output Duty Bank 1 (D2WD610H diagnostic)* (%),Accelerator Pedal Angle (%),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Intake OCV Current Left (mA),Intake OCV Current Right (mA),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h)
0,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
104,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
208,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
311,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
415,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,94.844,7.45,0
519,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
623,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
727,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
831,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
936,0.00,0.00,0.00,24,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0,0,95.162,7.45,0
