Time (msec),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,1,68,0,18.10,0.00,0.00,0.00,1.0000,0.00,94.527,4.71,0,7,1.22,0.00,51,0.0000
104,0.00,1,68,0,18.12,0.00,0.00,0.00,1.0000,0.00,94.527,4.71,0,7,1.22,0.00,51,0.0000
208,0.00,1,68,0,18.12,0.00,0.00,0.00,1.0000,0.00,94.527,4.71,0,7,1.22,0.00,51,0.0000
311,0.00,1,68,0,18.10,0.00,0.00,0.00,1.0000,0.00,94.844,4.71,0,7,1.22,0.00,51,0.0000
415,0.00,1,68,0,18.12,0.00,0.00,0.00,1.0000,0.00,94.844,4.71,0,7,1.22,0.00,51,0.0000
519,0.00,1,68,0,18.10,0.00,0.00,0.00,1.0000,0.00,94.844,4.71,0,7,1.22,0.00,51,0.0000
623,0.00,1,68,0,18.09,0.00,0.00,0.00,1.0000,0.00,94.844,4.71,0,7,1.22,0.00,51,0.0000
727,0.00,1,68,0,18.12,0.00,0.00,0.00,1.0000,0.00,94.527,4.71,0,7,1.22,0.00,51,0.0000
831,0.00,1,68,0,18.11,0.00,0.00,0.00,1.0000,0.00,94.527,4.71,0,7,1.22,0.00,51,0.0000
935,0.00,1,68,0,18.11,0.00,0.00,0.00,1.0000,0.00,94.844,4.71,0,7,1.22,0.00,51,0.0000
1039,0.00,1,68,0,18.37,0.00,0.00,0.00,1.0000,0.00,94.844,4.71,0,7,1.22,0.00,51,0.0000
1142,0.00,1,68,0,18.23,0.00,0.00,0.00,1.0000,0.00,94.844,4.71,0,7,1.22,0.00,51,0.0000
1246,0.00,1,68,0,0.00,0.00,0.00,0.00,1.0000,0.00,94.527,4.71,0,7,1.22,0.00,51,0.0000
1350,0.00,1,68,0,0.00,0.00,0.00,0.00,1.0000,0.00,92.620,4.71,0,7,1.22,0.00,51,0.0000
1454,0.00,1,68,0,0.00,0.00,0.00,0.00,1.0000,0.00,92.303,4.71,0,7,1.22,0.00,51,0.0000
1559,0.00,1,68,0,0.00,0.00,0.00,0.00,1.0000,0.00,90.714,4.71,0,7,1.22,0.00,51,0.0000
1663,0.00,1,68,0,0.00,0.00,0.00,1.28,0.0000,15.00,90.079,4.71,0,7,1.22,1.01,51,0.0000
1767,0.00,1,68,160,0.00,0.00,0.00,1.28,0.0000,15.00,90.079,4.71,0,7,1.22,1.01,51,0.0000
1871,0.00,1,68,198,0.00,0.00,0.00,1.02,0.0000,15.00,88.808,4.71,0,7,1.22,1.15,51,0.0000
1976,0.00,1,68,180,0.00,0.00,0.00,1.28,0.0000,15.00,88.491,4.71,0,7,1.22,1.15,51,0.0000
2079,0.00,1,68,244,0.00,0.00,0.00,4.61,0.0000,15.00,85.314,4.71,0,7,1.22,1.15,51,0.0000
2183,0.00,1,68,306,0.00,0.00,0.00,4.10,0.0000,15.00,82.455,4.71,0,7,1.22,1.15,51,0.0000
2288,0.00,1,68,414,11.67,0.00,0.00,3.33,0.0000,15.00,77.690,4.71,0,7,1.22,1.15,51,0.0000
2393,0.00,1,68,326,0.00,0.00,0.00,3.33,0.0000,15.00,78.325,4.71,0,7,1.22,1.15,51,0.0000
2498,0.00,1,68,280,0.00,0.00,0.00,3.58,0.0000,15.00,79.278,4.71,0,7,1.22,1.15,51,0.0000
2602,0.00,1,68,379,0.00,0.00,0.00,3.58,0.0000,15.00,77.372,4.71,0,7,1.22,1.15,51,0.0000
2705,0.00,1,68,287,0.00,0.00,0.00,3.58,0.0000,15.00,78.643,4.71,0,7,1.22,1.15,51,0.0000
2810,0.00,1,68,455,0.00,0.00,0.00,3.33,0.0000,15.00,75.466,4.71,0,7,1.22,1.15,51,0.0000
2914,0.00,1,68,516,0.00,0.00,0.00,2.82,0.0000,15.00,71.018,4.71,0,7,1.22,1.15,51,0.0000
3018,0.00,1,68,657,0.00,0.00,0.00,4.86,0.0000,15.00,64.983,4.71,0,7,1.00,1.22,51,0.0000
3121,0.00,1,68,738,0.00,0.00,0.00,4.61,0.0000,15.00,58.947,4.71,0,7,0.98,1.21,51,0.0000
3226,0.00,1,68,818,0.00,0.00,0.00,4.35,0.0000,15.00,53.864,5.10,0,7,0.95,1.20,51,0.0000
3330,0.00,1,68,838,0.00,0.00,0.00,4.35,0.0000,15.00,49.099,5.10,0,7,0.92,1.18,51,0.0000
3433,0.00,1,68,818,0.00,0.00,0.00,4.10,0.0000,15.00,46.240,5.10,0,7,0.89,1.15,51,0.0000
3537,0.00,1,68,794,0.00,0.00,0.00,3.84,0.0000,15.00,45.287,5.10,0,7,0.85,1.15,51,0.0000
3641,0.00,1,68,777,0.00,0.00,0.00,3.84,0.0000,15.00,44.651,5.49,0,7,0.82,1.15,50,0.0000
3745,0.00,1,68,738,0.00,0.00,0.00,3.84,0.0000,15.00,44.969,5.49,0,7,0.79,1.14,50,0.0000
3849,0.00,1,68,720,0.00,0.00,0.00,3.58,0.0000,15.00,45.287,5.49,0,7,0.78,1.14,50,0.0000
3953,0.00,1,68,728,0.00,0.00,0.00,3.58,0.0000,15.00,45.604,5.49,0,7,0.76,1.13,50,0.0000
4057,0.00,1,68,726,0.00,0.00,0.00,3.58,0.0000,15.00,45.922,5.49,0,7,0.76,1.13,50,0.0000
4160,0.00,1,68,744,0.00,0.00,0.00,3.58,0.0000,15.00,46.240,5.49,0,7,0.75,1.12,50,0.0000
4265,0.00,1,68,760,0.00,0.00,0.00,3.58,0.0000,15.00,46.240,5.49,0,7,0.75,1.12,50,0.0000
4369,0.00,1,68,772,0.00,0.00,0.00,3.33,0.0000,15.00,45.922,5.49,0,7,0.75,1.11,50,0.0000
4472,0.00,1,68,792,0.00,0.00,0.00,3.33,0.0000,15.00,45.287,5.49,0,7,0.74,1.11,50,0.0000
4577,0.00,1,68,806,0.00,0.00,0.00,3.33,0.0000,15.00,44.334,5.88,0,7,0.74,1.11,50,0.0000
4681,0.00,1,68,810,0.00,0.00,0.00,3.33,0.0000,15.00,43.698,5.49,0,7,0.73,1.10,50,0.0000
4785,0.00,1,68,818,0.00,0.00,0.00,3.33,0.0000,15.00,43.381,5.49,0,7,0.73,1.10,49,0.0000
4888,0.00,1,68,823,0.00,0.00,0.00,3.33,0.0000,15.00,43.063,5.49,0,7,0.72,1.10,49,0.0000
4992,0.00,1,68,822,0.00,0.00,0.00,3.33,0.0000,15.00,42.428,5.88,0,7,0.71,1.09,49,0.0000
5096,0.00,1,68,822,0.00,0.00,0.00,3.07,0.0000,15.00,44.969,7.06,0,7,0.70,1.09,49,0.0000
5200,0.00,1,68,774,0.00,0.00,0.00,3.33,0.0000,15.00,46.557,6.67,0,7,0.71,1.09,49,0.0000
5305,0.00,1,68,864,0.00,0.00,0.00,3.33,0.0000,15.00,46.240,6.67,0,7,0.71,1.09,49,0.0000
5408,0.00,1,68,834,0.00,0.00,0.00,3.33,0.0000,15.00,46.240,6.67,0,7,0.72,1.08,49,0.0000
5512,0.00,1,68,936,0.00,0.00,0.00,3.33,0.0000,15.00,44.969,6.67,0,7,0.72,1.08,49,0.0000
5616,0.00,1,68,973,0.00,0.00,0.00,3.33,0.0000,15.00,43.698,6.67,0,7,0.72,1.08,49,0.0000
5720,0.00,1,68,1005,0.00,0.00,0.00,3.33,0.0000,15.00,42.428,6.27,0,7,0.72,1.07,49,0.0000
5825,0.00,1,68,1025,0.00,0.00,0.00,3.07,0.0000,15.00,40.521,6.27,0,7,0.71,1.07,48,0.0000
5928,0.00,1,68,1043,0.00,0.00,0.00,3.07,0.0000,15.00,38.933,6.27,0,7,0.69,1.07,48,0.0000
6031,0.00,1,68,1046,0.00,0.00,0.00,3.07,0.0000,15.00,37.980,6.27,0,7,0.67,1.07,48,0.0000
6136,0.00,1,68,1038,0.00,0.00,0.00,2.82,0.0000,15.00,37.980,6.27,0,7,0.66,1.06,48,0.0000
6240,0.00,1,68,1042,0.00,0.00,0.00,2.82,0.0000,15.00,37.345,6.27,0,7,0.64,1.07,48,0.0000
6343,0.00,1,68,1040,0.00,0.00,0.00,2.82,0.0000,15.00,37.345,6.27,0,7,0.63,1.06,48,0.0000
6447,0.00,1,68,1045,0.00,0.00,0.00,2.82,0.0000,15.00,37.027,6.27,0,7,0.62,1.06,48,0.0000
6552,0.00,1,68,1049,0.00,0.00,0.00,2.82,0.0000,15.00,37.027,6.27,0,7,0.62,1.06,48,0.0000
6655,0.00,1,68,1050,0.00,0.00,0.00,2.82,0.0000,15.00,36.392,6.27,0,7,0.61,1.05,48,0.0000
6761,0.00,1,68,1045,0.00,0.00,0.00,2.82,0.0000,15.00,36.074,6.27,0,7,0.60,1.05,48,0.0000
6863,0.00,1,68,1036,0.00,0.00,0.00,2.82,0.0000,15.00,35.756,6.27,0,7,0.60,1.05,47,0.0000
6968,0.00,1,68,1032,0.00,0.00,0.00,2.56,0.0000,15.00,35.121,5.88,0,7,0.59,1.05,47,0.0000
7073,0.00,1,68,1033,0.00,0.00,0.00,2.56,0.0000,15.00,34.803,5.88,0,7,0.58,1.05,47,0.0000
7176,0.00,1,68,1022,0.00,0.00,0.00,2.56,0.0000,15.00,34.486,5.88,0,7,0.58,1.05,47,0.0000
7280,0.00,1,68,1019,0.00,0.00,0.00,2.56,0.0000,15.00,34.168,5.88,0,7,0.57,1.04,47,0.0000
7384,0.00,1,68,1016,0.00,0.00,0.00,2.56,0.0000,15.00,33.533,5.49,0,7,0.57,1.04,47,0.0000
7488,0.00,1,68,1004,0.00,0.00,0.00,2.56,0.0000,15.00,32.897,5.49,0,7,0.56,1.04,47,0.0000
7592,0.00,1,68,994,0.00,0.00,0.00,2.56,0.0000,15.00,32.897,5.49,0,7,0.55,1.04,47,0.0000
7696,0.00,1,68,981,0.00,0.00,0.00,2.56,0.0000,15.00,32.897,5.49,0,7,0.54,1.04,47,0.0000
7799,0.00,1,68,965,0.00,0.00,0.00,2.56,0.0000,15.00,32.897,5.49,0,7,0.54,1.04,47,0.0000
7904,0.00,1,68,897,14.08,0.00,0.00,2.56,0.0000,15.00,33.215,5.49,0,7,0.54,1.04,47,0.0000
8008,0.00,1,68,952,14.02,0.00,0.00,2.56,0.0000,15.00,33.533,5.49,0,7,0.54,1.04,47,0.0000
