Time (msec),AVLS Bank 0 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),AVLS Bank 1 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),Oil Switching Solenoid Valve (OSV) Current (Left) (mA),Oil Switching Solenoid Valve (OSV) Current (Right) (mA),Oil Switching Solenoid Valve (OSV) Duty (Left) (%),Oil Switching Solenoid Valve (OSV) Duty (Right) (%),Oil Temperature (C),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Selected Barometric Estimate (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h)
0,1,1,0.00,1,53,0,15.56,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,95.378,95.162,5.10,0
105,1,1,0.00,1,53,0,15.58,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,95.162,95.162,5.10,0
208,1,1,0.00,1,52,0,15.58,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,94.629,95.162,5.10,0
312,1,1,0.00,1,52,0,15.56,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,95.162,95.162,5.10,0
416,1,1,0.00,1,52,0,15.57,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,95.162,95.162,5.10,0
520,1,1,0.00,1,52,0,15.59,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,94.629,95.162,5.10,0
624,1,1,0.00,1,52,0,15.80,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,95.378,95.162,5.10,0
728,1,1,0.00,1,52,0,15.57,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,95.378,95.162,5.10,0
831,1,1,0.00,1,52,0,15.59,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,94.844,95.162,5.10,0
936,1,1,0.00,1,52,0,15.56,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,95.378,95.162,5.10,0
1040,1,1,0.00,1,52,0,14.34,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,49,94.629,95.162,5.10,0
1143,1,1,0.00,1,52,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,32,352,0.0,0.0,49,93.891,95.162,5.10,0
1247,1,1,0.00,1,52,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,64,448,0.0,0.0,49,93.891,95.162,5.10,0
1352,1,1,0.00,1,52,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,64,448,0.0,0.0,49,92.303,95.162,5.10,0
1455,1,1,0.00,1,52,0,0.00,0.00,0.00,1.28,0.0000,0.00,0,0,0,0,0.0,0.0,49,89.557,95.162,5.10,0
1560,1,1,0.00,1,52,257,0.00,0.00,0.00,1.28,0.0000,15.00,0,0,0,0,0.0,0.0,49,81.400,95.162,5.10,0
1664,1,1,0.00,1,52,611,0.00,0.00,0.00,4.10,0.0000,15.00,0,0,0,0,0.0,0.0,49,69.963,95.162,5.10,0
1767,1,1,0.00,1,52,674,0.00,0.00,0.00,5.89,0.0000,15.00,0,0,0,0,0.0,0.0,49,64.245,95.162,5.10,0
1872,1,1,0.00,1,52,749,0.00,0.00,0.00,5.38,0.0000,15.00,0,0,0,0,0.0,0.0,49,57.676,95.162,5.10,0
