Time (msec),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,1,55,774,0.00,0.00,0.00,3.33,1.0000,15.00,44.334,5.88,0,7,0.72,1.10,44,0.0000
105,0.00,1,55,780,0.00,0.00,0.00,3.33,1.0000,15.00,47.510,7.45,0,7,0.72,1.10,44,0.0000
209,0.00,1,55,804,0.00,0.00,0.00,3.33,1.0000,15.00,49.099,6.67,0,7,0.73,1.09,44,0.0000
313,0.00,1,55,838,0.00,0.00,0.00,3.33,1.0000,15.00,48.781,6.67,0,7,0.74,1.09,44,0.0000
417,0.00,1,55,890,0.00,0.00,0.00,3.33,1.0000,15.00,48.146,6.67,0,7,0.75,1.09,44,0.0000
521,0.00,1,55,928,0.00,0.00,0.00,3.33,1.0000,15.00,46.875,6.67,0,7,0.76,1.09,44,0.0000
626,0.00,1,55,980,0.00,0.00,0.00,3.33,1.0000,15.00,44.969,6.67,0,7,0.76,1.08,44,0.0000
730,0.00,1,55,962,0.00,0.00,0.00,3.33,1.0000,15.00,42.745,6.27,0,7,0.75,1.08,44,0.0000
835,0.00,1,55,1038,0.00,0.00,0.00,3.33,1.0000,15.00,41.157,6.27,0,7,0.74,1.08,44,0.0000
939,0.00,1,55,1051,0.00,0.00,0.00,3.07,1.0000,15.00,38.933,6.27,0,7,0.71,1.07,44,0.0000
1042,0.00,1,55,1042,0.00,0.00,0.00,3.07,1.0000,15.00,38.298,6.27,0,7,0.68,1.07,44,0.0000
1146,0.00,1,55,1032,0.00,0.00,0.00,3.07,1.0000,15.00,37.980,6.67,0,7,0.66,1.07,44,0.0000
1249,0.00,1,55,1084,0.00,0.00,0.00,2.82,1.0000,15.00,37.980,6.67,0,7,0.64,1.07,43,0.0000
1354,0.00,1,55,1015,0.00,0.00,0.00,2.82,1.0000,15.00,38.298,6.67,0,7,0.63,1.06,43,0.0000
1458,0.00,1,55,1002,0.00,0.00,0.00,2.82,1.0000,15.00,38.298,6.67,0,7,0.62,1.06,43,0.0000
1562,0.00,1,55,1006,0.00,0.00,0.00,2.82,1.0000,15.00,38.298,6.67,0,7,0.62,1.06,43,0.0000
1666,0.00,1,55,1009,0.00,0.00,0.00,2.82,1.0000,15.00,38.298,6.67,0,7,0.61,1.06,43,0.0000
1770,0.00,1,55,1011,0.00,0.00,0.00,2.82,1.0000,15.00,38.298,6.27,0,7,0.61,1.06,43,0.0000
1873,0.00,1,55,1020,0.00,0.00,0.00,2.82,1.0000,15.00,37.662,6.27,0,7,0.61,1.05,43,0.0000
1978,0.00,1,55,1025,0.00,0.00,0.00,2.82,1.0000,15.00,37.027,6.27,0,7,0.60,1.05,43,0.0000
2082,0.00,1,55,1030,0.00,0.00,0.00,2.82,1.0000,15.00,36.392,6.27,0,7,0.60,1.05,43,0.0000
2185,0.00,1,55,1031,0.00,0.00,0.00,2.56,1.0000,15.00,35.439,5.88,0,7,0.59,1.05,43,0.0000
2289,0.00,1,55,1025,0.00,0.00,0.00,2.56,1.0000,15.00,34.803,5.88,0,7,0.58,1.05,43,0.0000
2393,0.00,1,55,1082,0.00,0.00,0.00,2.56,1.0000,15.00,34.486,5.88,0,7,0.57,1.05,43,0.0000
2497,0.00,1,55,1016,0.00,0.00,0.00,2.56,1.0000,15.00,34.168,5.88,0,7,0.56,1.05,43,0.0000
2602,0.00,1,55,1001,0.00,0.00,0.00,2.56,1.0000,15.00,34.168,5.88,0,7,0.55,1.04,43,0.0000
2705,0.00,1,55,991,0.00,0.00,0.00,2.56,1.0000,15.00,34.168,5.88,0,7,0.55,1.04,43,0.0000
2809,0.00,1,55,986,0.00,0.00,0.00,2.56,1.0000,15.00,34.168,5.88,0,7,0.54,1.04,43,0.0000
2913,0.00,1,55,986,0.00,0.00,0.00,2.56,1.0000,15.00,33.850,5.49,0,7,0.54,1.04,42,0.0000
3017,0.00,1,55,980,0.00,0.00,0.00,2.56,1.0000,15.00,33.850,5.49,0,7,0.54,1.04,42,-0.0027
3121,0.00,1,55,973,0.00,0.00,0.00,2.56,1.0000,15.00,33.850,5.49,0,7,0.53,1.04,42,-0.0027
3224,0.00,1,55,971,0.00,0.00,0.00,2.56,1.0000,15.00,33.533,5.49,0,7,0.53,1.04,42,-0.0025
3329,0.00,1,55,956,0.00,0.00,0.00,2.56,1.0000,15.00,33.850,5.49,0,7,0.53,1.04,42,-0.0022
3433,0.00,1,55,949,0.00,0.00,0.00,2.30,1.0000,15.00,34.168,5.49,0,7,0.52,1.04,42,0.0000
3537,0.00,1,55,947,0.00,0.00,0.00,2.30,1.0000,15.00,34.168,5.49,0,7,0.52,1.04,42,0.0000
3641,0.00,1,55,947,14.55,0.00,0.00,2.56,1.0000,15.00,34.168,5.49,0,7,0.53,1.04,42,0.0000
3744,0.00,1,55,943,14.53,0.00,0.00,2.56,1.0000,15.00,34.168,5.49,0,7,0.53,1.04,42,0.0000
