Time (msec),AVLS Bank 0 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),AVLS Bank 1 Software Mode (D2WD610H diagnostic)* (AVLS mode (1 low; 3 high)),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),Oil Switching Solenoid Valve (OSV) Current (Left) (mA),Oil Switching Solenoid Valve (OSV) Current (Right) (mA),Oil Switching Solenoid Valve (OSV) Duty (Left) (%),Oil Switching Solenoid Valve (OSV) Duty (Right) (%),Oil Temperature (C),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Selected Barometric Estimate (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h)
0,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
104,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
209,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
312,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
416,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
520,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
624,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.378,95.162,5.10,0
727,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,94.844,95.162,5.10,0
832,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,94.844,95.162,5.10,0
936,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,94.844,95.162,5.10,0
1040,1,1,0.00,1,50,0,0.00,0.00,0.00,0.00,1.0000,0.00,0,0,0,0,0.0,0.0,48,95.162,95.162,5.10,0
