Time (msec),Accelerator Pedal Angle (%),Auxiliary Spark Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Battery Voltage (V),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Crank Synchronization State (D2WD610H diagnostic)* (raw state),Engine Signal Runtime Flags (D2WD610H diagnostic)* (raw flags),Engine Signal Timeout State (D2WD610H diagnostic)* (raw state),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Scheduler Mode (D2WD610H diagnostic)* (raw mode),Ignition Total Timing (degrees),Injector Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Lean Fuel Cut State (D2WD610H master)* (state (0 idle; 1 delay; 2 monitor; 3 cut)),Missed Airflow Task Activations (D2WD610H diagnostic)* (missed activations),Missed Crank Output Task Activations (D2WD610H diagnostic)* (missed activations),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Spark Inhibit Word (D2WD610H diagnostic)* (raw inhibit word),Throttle Opening Angle (%),Vehicle Speed (km/h)
0,0.00,4032,14.24,1,53,1,0,0,944,15.14,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
104,0.00,4032,14.24,1,53,1,0,0,948,15.11,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
209,0.00,4032,14.16,1,53,1,0,0,945,15.59,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
313,0.00,4032,14.24,1,53,1,0,0,945,15.37,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
417,0.00,4032,14.24,1,53,1,0,0,946,15.02,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
520,0.00,4032,14.16,1,53,1,0,0,943,15.41,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
624,0.00,4032,14.16,1,53,1,0,0,946,15.10,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
728,0.00,4032,14.16,1,53,1,0,0,942,15.61,0.00,0.00,2.30,1.0000,2,15.50,0,0,0,0,31.944,0,5.10,0
832,0.00,4032,14.24,1,53,1,0,0,944,15.20,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,32.262,0,5.10,0
937,0.00,4032,14.16,1,53,1,0,0,946,15.14,0.00,0.00,2.30,1.0000,2,15.00,0,0,0,0,31.944,0,5.10,0
