Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (4-byte)* (kPa absolute),Mass Airflow (g/s),Throttle Opening Angle (%)
0,0.00,0.00,0.00,0.00,712,14.32,7,46,0.62,1058,14.60,30016,50.0,0.6430,2.82,2.0503,33.33,15.00,21,37.34,10.93,6.67
103,0.00,0.00,0.00,0.00,712,14.32,7,46,0.62,1058,14.58,29952,50.0,0.6408,2.82,2.0495,33.33,15.00,21,37.34,10.93,6.67
207,0.00,0.00,0.00,0.00,712,14.32,7,46,0.62,1056,14.59,30272,50.0,0.6715,2.82,2.0482,33.33,15.00,21,37.34,11.03,6.67
312,0.00,0.00,0.00,0.00,712,14.32,7,46,0.62,1047,14.60,31680,50.0,0.6455,2.82,2.0500,33.33,15.00,21,37.34,10.95,6.67
415,0.00,0.00,0.00,0.00,712,14.32,7,46,0.62,1051,14.57,30144,50.0,0.6455,2.82,2.0543,33.33,15.00,21,37.50,10.95,6.67
519,0.00,0.00,0.00,0.00,712,14.32,7,46,0.62,1049,14.58,30144,50.0,0.6645,2.82,2.0568,33.33,15.00,21,37.58,10.92,6.67
624,0.00,0.00,0.00,0.00,712,14.32,7,46,0.62,1041,14.59,30080,50.0,0.6740,2.82,2.0585,33.33,15.00,21,37.66,10.95,6.67
727,0.00,0.00,0.00,0.00,712,14.24,7,46,0.62,1042,14.59,30016,50.0,0.6382,2.82,2.0635,33.33,15.00,21,37.66,11.02,6.67
831,0.00,0.00,0.00,0.00,712,14.16,7,46,0.63,1048,14.57,30400,50.0,0.6455,2.82,2.0690,33.33,15.00,21,37.66,11.04,6.67
936,0.00,0.00,0.00,0.00,712,14.24,7,46,0.63,1047,14.60,30016,50.0,0.6502,2.82,2.0740,33.33,15.00,21,37.82,10.99,6.67
1040,0.00,0.00,0.00,0.00,712,14.40,7,46,0.63,1051,14.61,29760,50.0,0.6740,2.82,2.0758,33.33,15.00,21,37.74,10.90,6.67
1144,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1050,14.57,29952,50.0,0.6408,2.82,2.0775,33.33,15.00,21,37.74,10.95,6.67
1247,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1050,14.59,30400,50.0,0.6408,2.82,2.0785,33.33,15.00,21,37.82,11.03,6.67
1352,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1048,14.60,29824,50.0,0.6525,2.82,2.0793,33.33,15.00,21,37.82,11.06,6.67
1455,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1047,14.40,28544,50.0,0.6430,2.82,2.0808,33.33,15.00,21,37.74,11.08,6.67
1560,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1052,14.33,28608,50.0,0.6382,2.82,2.0798,33.33,15.00,21,37.66,11.05,6.67
1664,0.00,0.00,0.00,0.00,712,14.24,7,46,0.63,1052,14.60,30016,50.0,0.6430,2.82,2.0810,33.33,15.00,21,37.66,11.09,6.67
1767,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1051,14.60,30016,50.0,0.6715,2.82,2.0820,33.33,15.00,21,37.66,10.94,6.67
1872,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1048,14.56,29952,50.0,0.6408,2.82,2.0785,33.33,15.00,21,37.66,10.96,6.67
1975,0.00,0.00,0.00,0.00,712,14.16,7,46,0.63,1049,14.59,30016,50.0,0.6478,2.82,2.0780,33.33,15.00,21,37.74,10.96,6.67
2079,0.00,0.00,0.00,0.00,712,14.24,7,46,0.63,1049,14.59,30016,50.0,0.6573,2.82,2.0777,33.33,15.00,21,37.66,11.05,6.67
2183,0.00,0.00,0.00,0.00,712,14.40,7,46,0.63,1049,14.58,30144,50.0,0.6763,2.82,2.0773,33.33,15.00,21,37.66,11.01,6.67
2287,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1051,14.58,30080,50.0,0.6382,2.82,2.0787,33.33,15.00,21,37.74,10.95,6.67
2392,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1052,14.61,30144,50.0,0.6455,2.82,2.0793,33.33,15.00,21,37.74,10.97,6.67
2495,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1050,14.82,30144,50.0,0.6693,2.82,2.0800,33.33,15.00,21,37.66,11.11,6.67
2599,0.00,0.00,0.00,0.00,712,14.32,7,46,0.63,1050,14.58,30144,50.0,0.6455,2.82,2.0800,33.33,15.00,21,37.66,11.11,6.67
2704,0.00,0.00,0.00,0.00,712,14.32,7,47,0.63,1056,14.59,30144,50.0,0.6455,2.82,2.0777,33.33,15.00,21,37.66,11.10,6.67
2807,0.00,0.00,0.00,0.00,712,14.24,7,47,0.63,1054,14.58,30016,50.0,0.6382,2.82,2.0773,33.33,15.00,21,37.66,11.09,6.67
2910,0.00,0.00,0.00,0.00,712,14.32,7,47,0.63,1050,14.57,30144,50.0,0.6478,2.82,2.0760,33.33,15.00,21,37.66,11.05,6.67
3015,0.00,0.00,0.00,0.00,712,14.24,7,47,0.63,1048,14.58,30016,50.0,0.6430,2.82,2.0760,33.33,15.00,21,37.66,11.02,6.67
