Time (msec),Accelerator Pedal Angle (%),Battery Voltage (V),CL/OL Fueling* (status),Combined Throttle Request (D2WD610H diagnostic)* (%),Coolant Temperature (C),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (kPa),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,14.40,7,8.19,23,1160.7,0.79,1174,14.84,31744,1.02,2.6410,9,13.50,20,45,15.43,8.24,0.0000
104,0.00,14.48,7,8.17,23,1160.7,0.79,1180,14.58,29952,1.02,2.6402,9,13.50,20,45,15.51,8.24,0.0000
207,0.00,14.48,7,8.17,23,1160.3,0.79,1182,14.57,29888,1.02,2.6420,9,13.50,20,45,15.53,8.24,0.0000
312,0.00,14.48,7,8.16,23,1160.0,0.79,1183,14.59,30144,1.02,2.6423,9,13.50,20,45,15.67,8.24,0.0000
416,0.00,14.56,7,8.15,23,1159.7,0.79,1184,14.59,30080,1.02,2.6420,9,13.50,20,45,15.56,8.24,0.0000
520,0.00,14.48,7,8.14,23,1159.7,0.79,1184,14.58,29952,1.02,2.6410,9,13.50,20,45,15.55,8.24,0.0000
623,0.00,14.40,7,8.14,23,1159.6,0.79,1190,14.57,30080,1.02,2.6393,9,13.00,20,45,15.64,8.24,0.0000
727,0.00,14.48,7,8.13,23,1159.4,0.79,1193,14.60,30144,1.02,2.6370,9,12.50,20,45,15.68,8.24,0.0000
831,0.00,14.48,7,8.11,23,1159.4,0.79,1189,14.60,30080,1.02,2.6365,9,13.00,20,45,15.62,8.24,0.0000
935,0.00,14.48,7,8.10,23,1159.3,0.79,1195,14.57,29952,1.02,2.6340,9,12.50,20,45,15.71,8.24,0.0000
1039,0.00,14.48,7,8.10,23,1159.3,0.79,1193,14.56,29952,1.02,2.6300,9,13.00,20,45,15.55,8.24,0.0000
1143,0.00,14.48,7,8.09,23,1159.2,0.78,1195,14.37,28480,1.02,2.6240,9,12.50,20,45,15.45,8.24,0.0000
1247,0.00,14.48,7,8.09,23,1159.2,0.78,1187,14.60,30080,1.02,2.6145,9,13.50,20,45,15.36,8.24,0.0000
1351,0.00,14.48,7,8.08,23,1158.8,0.78,1183,14.57,29952,1.02,2.6078,9,13.50,20,45,15.30,8.24,0.0000
1455,0.00,14.48,7,8.06,23,1158.5,0.78,1180,14.58,30144,1.02,2.6045,9,14.00,20,45,15.38,8.24,0.0000
1558,0.00,14.56,7,8.06,23,1158.2,0.78,1178,14.60,30144,1.02,2.6042,9,14.00,20,45,15.36,8.24,0.0000
1663,0.00,14.56,7,8.05,23,1158.2,0.78,1172,14.58,30016,1.02,2.6038,9,14.00,20,45,15.27,8.24,0.0000
1767,0.00,14.48,7,8.04,23,1158.1,0.78,1176,14.57,30016,1.02,2.6050,9,14.00,20,45,15.21,8.24,0.0000
1870,0.00,14.48,7,8.03,23,1157.9,0.78,1175,14.58,30080,1.02,2.6067,9,14.00,20,45,15.32,8.24,0.0000
1975,0.00,14.48,7,8.02,23,1157.8,0.78,1171,14.60,30144,1.02,2.6078,9,14.00,20,45,15.14,8.24,0.0000
2080,0.00,14.40,7,8.05,23,1157.8,0.78,1177,14.67,31296,1.02,2.6030,9,14.00,20,45,15.22,8.24,0.0000
2184,0.00,14.48,7,8.06,23,1157.8,0.78,1176,14.58,30080,1.02,2.5975,9,13.50,20,44,15.09,8.24,0.0000
2288,0.00,14.56,7,8.04,23,1157.7,0.77,1171,14.59,30144,1.02,2.5918,9,14.00,20,44,15.14,8.24,0.0000
2393,0.00,14.56,7,8.04,23,1157.7,0.77,1168,14.59,29952,1.02,2.5867,9,14.50,20,44,15.09,8.24,0.0000
2498,0.00,14.48,7,8.03,23,1157.3,0.77,1170,14.56,29952,1.02,2.5865,9,14.50,20,44,15.14,8.24,0.0000
2601,0.00,14.48,7,8.01,23,1157.0,0.77,1168,14.58,30080,1.02,2.5853,9,14.50,20,44,15.11,8.24,0.0000
2706,0.00,14.48,7,8.01,23,1156.7,0.77,1176,14.61,30080,1.02,2.5863,9,14.50,20,44,15.08,8.24,0.0000
2810,0.00,14.40,7,8.00,23,1156.7,0.77,1178,14.59,30016,1.02,2.5880,9,14.50,20,44,15.24,8.24,0.0000
2914,0.00,14.48,7,7.99,23,1156.6,0.77,1178,14.57,30016,1.02,2.5875,9,14.50,20,44,15.23,8.24,0.0000
3019,0.00,14.40,7,7.99,23,1156.4,0.77,1180,14.59,30080,1.02,2.5857,9,14.50,20,44,15.27,8.24,0.0000
