Time (msec),Accelerator Pedal Angle (%),Battery Voltage (V),CL/OL Fueling* (status),Combined Throttle Request (D2WD610H diagnostic)* (%),Coolant Temperature (C),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (kPa),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
104,0.00,11.76,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
208,0.00,11.76,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
311,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
415,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
519,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
624,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
728,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59776,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
831,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
935,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59968,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1039,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1143,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59776,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1248,0.00,11.68,7,5.04,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1351,0.00,11.68,7,5.04,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1455,0.00,11.68,7,5.04,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1559,0.00,11.68,7,5.04,50,1000.0,1.35,0,0.00,59904,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1663,0.00,11.68,7,5.04,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1767,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,61440,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1871,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,61440,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
1974,0.00,11.76,7,5.04,50,1000.0,1.35,0,18.90,58304,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2078,0.00,11.76,7,5.04,50,1000.0,1.35,0,18.91,58240,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2183,0.00,11.68,7,5.04,50,1000.0,1.35,0,0.00,59776,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2286,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2390,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,59904,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2494,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2598,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,59776,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2702,0.00,11.68,7,5.11,50,1000.0,1.35,0,0.00,59776,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2807,0.00,11.76,7,5.10,50,1000.0,1.35,0,0.00,59904,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
2910,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59904,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
3014,0.00,11.68,7,5.10,50,1000.0,1.35,0,0.00,59840,0.00,0.0000,0,0.00,28,96,2.75,5.10,0.0000
