Time (msec),Accelerator Pedal Angle (%),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Throttle Opening Angle (%),Vehicle Speed (km/h),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,1,80,871,15.58,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
105,0.00,1,80,870,15.60,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
209,0.00,1,80,870,15.60,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
312,0.00,1,80,870,15.58,0.00,0.00,2.05,1.0000,15.00,29.085,4.31,0,7,0.45,1.00,39,0.0000
417,0.00,1,80,871,15.60,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
521,0.00,1,80,869,15.57,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
626,0.00,1,80,872,15.59,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
731,0.00,1,80,872,15.58,0.00,0.00,2.05,1.0000,15.00,29.720,4.31,0,7,0.45,1.00,39,0.0000
835,0.00,1,80,874,15.59,0.00,0.00,2.05,1.0000,15.00,29.085,4.31,0,7,0.45,1.00,39,0.0000
940,0.00,1,80,870,15.59,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
1043,0.00,1,80,872,15.68,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
1148,0.00,1,80,871,15.59,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
1251,0.00,1,80,872,15.59,0.00,0.00,2.05,1.0000,15.00,29.085,4.31,0,7,0.45,1.00,39,0.0000
1355,0.00,1,80,867,15.57,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
1460,0.00,1,80,869,15.60,0.00,0.00,2.05,1.0000,15.00,29.085,4.31,0,7,0.45,1.00,39,0.0000
1564,0.00,1,80,870,15.57,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
1667,0.00,1,80,870,15.59,0.00,0.00,2.05,1.0000,15.00,29.085,4.31,0,7,0.45,1.00,39,0.0000
1771,0.00,1,80,866,15.58,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
1876,0.00,1,80,866,15.58,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
1981,0.00,1,80,864,15.36,0.00,0.00,2.05,1.0000,15.00,29.720,4.31,0,7,0.45,1.00,39,0.0000
2084,0.00,1,80,866,15.44,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
2188,0.00,1,80,866,15.60,0.00,0.00,2.05,1.0000,15.00,29.720,4.31,0,7,0.45,1.00,39,0.0000
2292,0.00,1,80,866,15.59,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
2396,0.00,1,80,869,15.59,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
2500,0.00,1,80,864,15.60,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
2604,0.00,1,80,864,15.57,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
2708,0.00,1,80,862,15.61,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
2811,0.00,1,80,864,15.59,0.00,0.00,2.05,1.0000,15.00,29.720,4.31,0,7,0.45,1.00,39,0.0000
2916,0.00,1,80,864,15.59,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
3020,0.00,1,80,866,15.59,0.00,0.00,2.05,1.0000,15.00,29.720,4.31,0,7,0.45,1.00,39,0.0000
3123,0.00,1,80,864,15.57,0.00,0.00,2.05,1.0000,15.00,29.720,4.31,0,7,0.45,1.00,39,0.0000
3227,0.00,1,80,866,15.88,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
3332,0.00,1,80,864,15.58,0.00,0.00,2.05,1.0000,15.00,29.403,4.31,0,7,0.45,1.00,39,0.0000
