Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (kPa absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,33.33,0.00,28,3.36,7.45,0.0000
104,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,33.33,0.00,28,3.36,7.45,0.0000
208,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,33.33,0.00,28,3.36,7.45,0.0000
312,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,33.33,0.00,28,3.36,7.45,0.0000
415,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,33.33,0.00,28,3.36,7.45,0.0000
520,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,33.33,0.00,28,3.36,7.45,0.0000
624,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
729,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
832,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
937,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1040,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1143,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1248,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1351,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1455,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1560,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1664,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1768,11.44,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1872,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
1975,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,100.00,0.00,28,3.36,7.45,0.0000
2080,11.52,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2183,11.68,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2287,11.68,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2391,11.68,7,1,26,1.47,0,0.00,65472,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2495,11.68,7,1,26,1.47,0,0.00,38656,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2599,7.60,7,1,26,1.47,0,11.80,3904,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2703,9.04,7,1,26,1.47,0,0.00,192,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2807,9.60,7,1,26,1.47,0,0.00,128,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
2911,9.60,7,1,26,1.47,0,0.00,64,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
3014,9.76,7,1,26,1.47,0,0.00,64,95.48,0.00,0.0000,0.00,0.0000,0.00,0.00,28,3.36,7.45,0.0000
3119,9.84,7,1,26,1.47,0,0.00,64,95.49,1.03,1.3165,1.02,0.0000,0.00,15.00,28,0.00,7.45,0.0000
3222,10.00,7,1,26,1.47,138,0.00,64,93.89,1.03,1.3165,1.28,0.0000,0.00,15.00,28,0.00,7.45,0.0000
3327,10.16,7,1,26,1.47,138,0.00,64,93.73,1.40,1.3282,13.31,0.0000,100.00,15.00,28,2.50,7.45,0.0000
3431,10.00,7,1,26,1.47,289,0.00,64,93.57,1.40,1.2728,13.31,12.0360,100.00,15.00,28,2.60,7.45,0.0000
3535,10.32,7,1,26,1.47,662,0.00,64,87.22,1.40,1.2012,10.50,10.4318,100.00,15.00,28,9.61,7.45,0.0000
3640,11.28,7,1,26,1.47,922,0.00,192,77.37,1.40,1.0385,8.96,8.0120,100.00,15.00,28,16.80,7.45,0.0000
3742,13.36,7,1,26,1.29,1086,12.21,4352,67.52,1.59,0.7505,7.42,6.8803,100.00,15.00,28,20.72,8.24,0.0000
3848,13.84,7,1,26,1.26,1172,0.00,4160,62.32,1.58,0.6693,7.17,6.4675,100.00,15.00,28,21.52,8.24,0.0000
3952,14.40,7,1,26,1.21,1206,0.00,4096,56.25,1.56,0.6335,6.66,6.1197,100.00,15.00,28,20.65,8.24,0.0000
4055,14.40,7,1,26,1.15,1218,0.00,3840,51.80,1.53,0.6382,6.40,5.7300,100.00,15.00,28,19.46,8.24,0.0000
4159,14.48,7,1,26,1.09,1208,0.00,3840,48.70,1.51,0.6218,5.89,5.3342,100.00,15.00,28,18.49,8.24,0.0000
4263,14.48,7,1,26,1.03,1159,0.00,3840,47.06,1.48,0.6265,5.63,5.0115,100.00,15.00,28,17.27,8.24,0.0000
4367,14.56,7,1,26,0.99,1123,0.00,3840,46.08,1.47,0.6170,5.38,4.7175,100.00,15.00,28,16.36,8.24,0.0000
4471,14.48,7,1,26,0.95,1077,0.00,3840,45.76,1.45,0.6408,5.12,4.5183,100.00,15.00,28,15.69,8.24,0.0000
4574,14.40,7,1,26,0.93,1025,0.00,3968,45.92,1.41,0.6502,4.86,4.2690,100.00,15.00,28,15.03,8.24,0.0000
4678,14.40,7,1,26,0.91,974,0.00,3840,46.24,1.41,0.6170,4.86,4.1990,100.00,15.00,28,14.55,8.24,0.0000
4783,14.40,7,1,26,0.91,954,0.00,3840,46.88,1.38,0.6455,4.61,4.0800,100.00,15.00,28,14.39,8.24,0.0000
4887,14.40,7,1,26,0.91,926,0.00,3776,47.35,1.38,0.6170,4.61,4.0717,100.00,15.00,28,14.18,8.24,0.0000
4991,14.40,7,1,26,0.91,915,0.00,3776,48.23,1.35,0.6265,4.61,4.0050,100.00,15.00,28,14.03,8.24,0.0000
5095,14.48,7,1,26,0.91,904,0.00,3712,48.83,1.35,0.6455,4.61,4.0297,100.00,15.00,28,13.98,8.63,0.0000
5199,14.32,7,1,26,0.92,899,0.00,3712,49.73,1.33,0.6145,4.61,4.0545,100.00,15.00,28,14.04,8.63,0.0000
5303,14.40,7,1,26,0.92,903,0.00,3776,50.45,1.33,0.6170,4.61,4.0185,100.00,15.00,28,14.24,8.63,0.0000
5407,14.56,7,1,26,0.93,914,0.00,3712,50.93,1.32,0.6430,4.61,4.0537,100.00,15.00,28,14.46,8.24,0.0000
5511,14.32,7,1,26,0.93,930,0.00,3776,51.16,1.32,0.6145,4.61,4.0060,100.00,15.00,28,14.64,8.63,0.0000
5615,14.40,7,1,25,0.93,946,0.00,3776,51.00,1.30,0.6382,4.61,4.0477,100.00,15.00,28,14.95,8.63,0.0000
