Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (kPa absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,11.52,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,7.06,0.0000
103,11.52,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,7.06,0.0000
207,11.52,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,33.33,0.00,25,3.23,7.06,0.0000
311,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,7.06,0.0000
414,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
518,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
623,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
727,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
830,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
934,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1038,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1142,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1246,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1349,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1454,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1558,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1662,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,100.00,0.00,25,3.23,6.67,0.0000
1766,11.60,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,7.06,0.0000
1870,11.68,7,1,31,1.45,0,0.00,65472,95.16,0.00,0.0000,0.00,0.0000,0.00,0.00,25,3.23,6.67,0.0000
