Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure Estimate (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Factory Processed MAP (4-byte)* (kPa absolute),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%)
0,0.00,0.00,0.00,0.00,712,11.52,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,0.00,0.00,27,3.62,9.02
104,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,0.00,0.00,27,3.62,9.02
208,0.00,0.00,0.00,0.00,712,11.52,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,0.00,0.00,27,3.62,9.02
311,0.00,0.00,0.00,0.00,712,11.52,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,0.00,0.00,27,3.62,9.02
415,0.00,0.00,0.00,0.00,712,11.52,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,0.00,0.00,27,3.62,9.02
519,0.00,0.00,0.00,0.00,712,11.60,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,0.00,0.00,27,3.62,9.02
623,0.00,0.00,0.00,0.00,712,11.60,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
729,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
832,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
936,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1040,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1145,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1247,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1352,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1456,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1560,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1664,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1767,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
1871,0.00,0.00,0.00,0.00,712,11.44,7,15,1.52,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,27,3.62,9.02
