Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Factory Processed MAP (4-byte)* (psi absolute),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,11.76,7,1,31,1.44,0,0.00,62656,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
104,11.76,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
208,11.76,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
312,11.76,7,1,31,1.44,0,0.00,62592,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
416,11.76,7,1,31,1.44,0,0.00,62912,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
520,11.76,7,1,31,1.44,0,0.00,62464,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
624,11.76,7,1,31,1.44,0,0.00,62912,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
728,11.76,7,1,31,1.44,0,0.00,62656,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
831,11.76,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
935,11.76,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,0.00,0.00,23,3.22,8.24,0.0000
1040,11.76,7,1,31,1.44,0,0.00,62912,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1144,11.60,7,1,31,1.44,0,0.00,64128,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1247,11.60,7,1,31,1.44,0,0.00,61120,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1352,11.60,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1455,11.60,7,1,31,1.44,0,0.00,62912,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1559,11.60,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1663,11.60,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1766,11.60,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1871,11.60,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
1975,11.60,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
2079,11.68,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
2182,11.68,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
2287,11.68,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
2390,11.68,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,33.33,0.00,23,3.22,8.24,0.0000
2495,11.68,7,1,31,1.44,0,0.00,62464,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
2599,11.68,7,1,31,1.44,0,0.00,62720,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
2702,11.68,7,1,31,1.44,0,0.00,62784,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
2806,11.68,7,1,31,1.44,0,0.00,62912,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
2911,11.68,7,1,31,1.44,0,11.88,41984,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
3014,7.84,7,1,31,1.44,0,0.00,3840,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
3118,9.44,7,1,31,1.44,0,0.00,192,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
3222,9.84,7,1,31,1.44,0,0.00,192,13.85,0.00,0.0000,0.00,0.0000,100.00,0.00,23,3.22,8.24,0.0000
3326,9.76,7,1,31,1.44,0,0.00,64,13.85,1.02,0.9493,0.00,0.0000,100.00,15.00,23,0.00,8.24,0.0000
3429,10.08,7,1,31,1.44,0,0.00,128,13.80,1.02,1.3720,11.26,9.9028,100.00,15.00,23,0.00,8.24,0.0000
3533,10.08,7,1,31,1.44,286,0.00,64,13.71,1.35,1.2410,11.26,9.7270,100.00,15.00,23,5.16,8.24,0.0000
3637,10.48,7,1,31,1.44,686,0.00,128,12.51,1.35,1.1815,8.96,7.6638,100.00,15.00,23,12.77,8.24,0.0000
3741,12.24,7,1,31,1.31,940,0.00,0,11.13,1.54,0.8730,7.68,6.7640,100.00,15.00,23,15.68,8.24,0.0000
3845,13.20,7,1,31,1.27,1063,0.00,4224,10.16,1.53,0.7550,7.17,6.3293,100.00,15.00,23,20.33,8.63,0.0000
3949,13.60,7,1,31,1.23,1143,0.00,4096,9.39,1.53,0.7228,6.91,6.0455,100.00,15.00,23,20.96,9.02,0.0000
4053,13.84,7,1,31,1.18,1207,0.00,4224,8.75,1.51,0.7020,6.66,5.7395,100.00,15.00,23,20.91,9.02,0.0000
4157,13.92,7,1,31,1.13,1260,0.00,3968,8.09,1.48,0.6835,6.14,5.3980,100.00,15.00,23,20.62,9.02,0.0000
4261,13.84,7,1,31,1.07,1286,0.00,3968,7.70,1.45,0.6693,5.89,5.0125,100.00,15.00,23,19.69,9.02,0.0000
4365,14.16,7,1,31,1.01,1294,0.00,4032,7.28,1.43,0.6525,5.38,4.6528,100.00,15.00,23,18.98,9.02,0.0000
4470,14.32,7,1,31,0.96,1289,0.00,4032,7.03,1.41,0.6455,5.12,4.3605,100.00,15.00,23,18.32,9.02,0.0000
4573,14.32,7,1,31,0.93,1272,0.00,4032,6.88,1.39,0.6550,4.86,4.0557,100.00,15.00,23,17.60,9.02,0.0000
4677,14.40,7,1,31,0.89,1258,0.00,3840,6.75,1.34,0.6335,4.61,3.8527,100.00,15.00,23,17.07,9.02,0.0000
4782,14.40,7,1,31,0.86,1245,0.00,3968,6.71,1.29,0.6288,4.35,3.6015,100.00,15.00,23,16.71,9.02,0.0000
4886,14.32,7,1,31,0.84,1233,0.00,4032,6.65,1.29,0.6573,4.10,3.4487,100.00,15.00,23,16.36,9.02,0.0000
4989,14.32,7,1,31,0.83,1208,0.00,3840,6.64,1.26,0.6455,4.10,3.4013,100.00,15.00,23,15.96,9.02,0.0000
5094,14.40,7,1,31,0.82,1198,0.00,3840,6.63,1.24,0.6430,3.84,3.3065,100.00,15.00,23,15.80,9.02,0.0000
5198,14.40,7,1,31,0.81,1197,0.00,4032,6.64,1.24,0.6335,3.84,3.2640,100.00,15.00,23,15.78,9.02,0.0000
5301,14.48,7,1,31,0.80,1190,0.00,3584,6.65,1.22,0.6240,3.84,3.1972,100.00,15.00,23,15.70,9.02,0.0000
5405,14.48,7,1,31,0.80,1194,0.00,3904,6.65,1.20,0.6240,3.84,3.1398,100.00,15.00,23,15.75,9.02,0.0000
5510,14.32,7,1,31,0.80,1196,0.00,3584,6.66,1.20,0.6335,3.84,3.1510,100.00,15.00,23,15.78,9.02,0.0000
5614,14.48,7,1,31,0.80,1199,0.00,3584,6.65,1.19,0.6240,3.84,3.0938,100.00,15.00,23,15.82,9.02,0.0000
5717,14.32,7,1,31,0.80,1199,0.00,3904,6.66,1.19,0.6430,3.84,3.0560,100.00,15.00,23,15.81,9.02,0.0000
5822,14.32,7,1,31,0.80,1207,0.00,3840,6.65,1.17,0.6408,3.84,3.0583,100.00,15.00,23,16.36,9.02,0.0000
5926,14.40,7,1,31,0.80,1216,0.00,3968,6.81,1.16,0.6455,3.58,3.0438,100.00,15.00,23,16.77,9.80,0.0000
6030,14.40,7,1,31,0.81,1228,0.00,3584,6.89,1.16,0.6312,3.58,3.0893,100.00,15.00,23,17.12,9.41,0.0000
6134,14.48,7,1,31,0.82,1245,0.00,2240,6.89,1.15,0.6265,3.58,3.0860,100.00,15.00,23,17.27,9.41,0.0000
6238,14.32,7,1,31,0.82,1264,0.00,3520,6.83,1.14,0.6525,3.84,3.0697,100.00,15.00,23,17.48,9.41,0.0000
