Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure Estimate (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Factory Processed MAP (4-byte)* (kPa absolute),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%)
0,0.00,0.00,0.00,0.00,712,14.32,7,48,0.63,1339,14.28,28096,50.0,36.39,0.6478,2.82,2.1002,100.00,15.00,22,13.91,8.24
104,0.00,0.00,0.00,0.00,712,14.32,7,48,0.63,1332,14.54,29888,50.0,36.23,0.6668,2.82,2.0910,100.00,15.00,22,13.73,8.24
209,0.00,0.00,0.00,0.00,712,14.32,7,48,0.62,1338,14.55,29760,50.0,36.15,0.6455,2.82,2.0812,100.00,15.00,22,13.64,8.24
312,0.00,0.00,0.00,0.00,712,14.32,7,48,0.62,1327,14.53,29760,50.0,36.15,0.6550,2.82,2.0753,100.00,15.00,22,13.81,7.84
416,0.00,0.00,0.00,0.00,712,14.32,7,48,0.62,1328,14.53,29888,50.0,35.99,0.6502,2.82,2.0680,100.00,15.00,22,13.64,7.84
521,0.00,0.00,0.00,0.00,712,14.40,7,48,0.62,1330,14.56,29760,50.0,35.92,0.6668,2.82,2.0602,100.00,15.00,22,13.59,7.84
625,0.00,0.00,0.00,0.00,712,14.40,7,48,0.61,1322,14.54,29760,50.0,35.92,0.6502,2.82,2.0522,100.00,15.00,22,13.37,7.84
730,0.00,0.00,0.00,0.00,712,14.32,7,48,0.61,1313,14.54,29824,50.0,35.76,0.6693,2.82,2.0460,100.00,15.00,22,13.36,7.84
835,0.00,0.00,0.00,0.00,712,14.32,7,48,0.61,1304,14.56,29760,50.0,35.76,0.6455,2.82,2.0402,100.00,15.00,22,13.35,7.84
938,0.00,0.00,0.00,0.00,712,14.32,7,48,0.61,1307,14.78,31296,50.0,35.84,0.6525,2.56,2.0345,100.00,15.00,22,13.14,7.84
