Time (msec),A/F Correction #1 (%),A/F Correction #2 (%),A/F Learning #1 (%),A/F Learning #2 (%),Atmospheric Pressure Estimate (mmHg),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),External Wideband Ready Metric (D2WD610H master)* (ready metric),Factory Processed MAP (4-byte)* (kPa absolute),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (4-byte)* (ms),Fuel Pump Duty (%),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%)
0,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
104,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
209,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
312,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
417,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
520,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
624,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
728,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.27
831,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.67
936,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,33.33,0.00,22,3.15,6.67
1040,0.00,0.00,0.00,0.00,712,11.68,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,22,3.15,6.67
1143,0.00,0.00,0.00,0.00,712,11.60,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,22,3.15,6.67
1248,0.00,0.00,0.00,0.00,712,11.60,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,22,3.15,6.67
1352,0.00,0.00,0.00,0.00,712,11.60,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,22,3.15,6.67
1456,0.00,0.00,0.00,0.00,712,11.60,7,34,1.43,0,0.00,65472,0.0,95.16,0.0000,0.00,0.0000,100.00,0.00,22,3.15,6.67
