Time (msec),Battery Voltage (V),CL/OL Fueling* (status),Coolant Temperature (C),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Ignition Total Timing (degrees),Intake Air Temperature (C),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor),Accelerator Pedal Angle (%),Combined Throttle Request (D2WD610H diagnostic)* (%),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Manifold Absolute Pressure (kPa)
0,11.84,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
104,11.84,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
208,11.84,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
312,11.84,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
416,11.84,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
520,11.84,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
623,11.76,7,35,1.43,0,0.00,62528,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
728,11.76,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
831,11.68,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
935,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
1039,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
1143,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
1247,11.60,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
1351,11.60,7,35,1.43,0,0.00,63808,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
1456,11.60,7,35,1.43,0,0.00,61056,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
1559,11.60,7,35,1.43,0,0.00,61952,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
1662,11.60,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
1767,11.60,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
1871,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
1974,11.68,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2078,11.68,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2183,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2287,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2391,11.68,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2495,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2599,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2703,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2806,11.68,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
2910,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
3016,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
3118,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.16,1328.1,0,95
3222,11.68,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
3326,11.68,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
3429,11.68,7,35,1.43,0,0.00,62720,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
3534,11.68,7,35,1.43,0,0.00,64064,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
3638,11.68,7,35,1.43,0,0.00,61120,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
3742,11.60,7,35,1.43,0,0.00,62656,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
3846,11.68,7,35,1.43,0,0.00,46272,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
3950,11.76,7,35,1.43,0,11.20,4288,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
4053,9.04,7,35,1.43,0,0.00,192,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
4158,9.52,7,35,1.43,0,0.00,128,0.00,0.0000,0.00,26,3.13,6.27,0.0000,0.00,6.22,1328.1,0,95
