Time (msec),Accelerator Pedal Angle (%),Battery Voltage (V),CL/OL Fueling* (status),Combined Throttle Request (D2WD610H diagnostic)* (%),Coolant Temperature (C),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (kPa),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
104,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62592,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
208,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
312,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
416,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
521,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
625,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
729,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
832,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
937,0.00,11.84,7,4.98,50,1000.0,1.35,0,0.00,62592,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1040,0.00,11.84,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1144,0.00,11.84,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1248,0.00,11.84,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1352,0.00,11.84,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1456,0.00,11.84,7,5.04,50,1000.0,1.35,0,0.00,62592,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1560,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1664,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,62592,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1768,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1872,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,64128,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
1976,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,61056,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2080,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2184,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2288,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,62592,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2391,0.00,11.76,7,5.04,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2496,0.00,11.76,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2599,0.00,11.76,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2703,0.00,11.76,7,4.98,50,1000.0,1.35,0,0.00,62656,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2807,0.00,11.36,7,4.98,50,1000.0,1.35,0,12.24,11008,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
2911,0.00,9.36,7,4.98,50,1000.0,1.35,0,0.00,320,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
3015,0.00,10.08,7,4.98,50,1000.0,1.35,0,0.00,192,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
3119,0.00,9.92,7,4.98,50,1000.0,1.35,0,0.00,128,0.00,0.0000,0,0.00,31,95,2.74,5.10,0.0000
3223,0.00,10.40,7,4.98,50,1000.0,1.35,0,0.00,128,1.01,0.0000,0,15.00,31,94,0.00,5.10,0.0000
3327,0.00,10.72,7,4.98,50,1000.0,1.35,345,0.00,128,1.19,0.0000,0,15.00,31,90,5.94,5.10,0.0000
