Time (msec),CL/OL Fueling* (status),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor),Fuel Injector #1 Pulse Width (ms),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Engine Load (4-Byte)* (g/rev),Ignition Total Timing (degrees),Throttle Opening Angle (%),Accelerator Pedal Angle (%),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),IAM (4-byte)* (multiplier),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Vehicle Speed (km/h)
0,7,20,0,14.58,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.797,0
104,7,20,0,14.55,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.480,0
208,7,20,0,14.57,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.480,0
311,7,20,0,14.57,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.797,0
415,7,20,0,14.54,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.480,0
520,7,20,0,14.82,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.480,0
624,7,20,0,14.59,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.797,0
727,7,20,0,14.55,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.480,0
831,7,20,0,14.56,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.797,0
936,7,20,0,14.58,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.480,0
1039,7,20,0,14.55,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.797,0
1143,7,20,0,14.58,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.480,0
1247,7,20,0,14.57,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.797,0
1352,7,20,0,11.80,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.797,0
1455,7,20,0,0.00,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.162,0
1559,7,20,0,0.00,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.695,0
1662,7,20,0,0.00,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,94.209,0
1767,7,20,0,0.00,0.00,28,0.0000,0.00,1,1.50,0.00,8.24,0.00,0.00,0.00,1.0000,95.378,0
1870,7,20,0,0.00,1.04,28,0.0000,0.00,1,1.50,15.00,8.24,0.00,0.00,0.00,0.0000,94.527,0
1974,7,20,0,0.00,1.04,28,0.0000,1.28,1,1.50,15.00,8.24,0.00,0.00,0.00,0.0000,93.040,0
2079,7,20,144,0.00,1.46,28,0.0000,16.13,1,1.50,15.00,8.24,0.00,0.00,0.00,0.0000,93.789,0
2182,7,20,146,0.00,1.46,28,0.0000,15.87,1,1.50,15.00,8.24,0.00,0.00,0.00,0.0000,94.640,0
2286,7,20,510,0.00,1.46,28,0.0000,13.82,1,1.50,15.00,8.24,0.00,0.00,0.00,0.0000,86.800,0
2390,7,20,369,0.00,1.46,28,0.0000,12.54,1,1.50,15.00,8.24,0.00,0.00,0.00,0.0000,86.381,0
2495,7,20,632,0.00,1.56,28,0.0000,11.78,1,1.50,15.00,8.24,0.00,0.00,0.00,0.0000,79.596,0
2598,7,20,755,0.00,1.56,28,0.0000,9.98,1,1.27,15.00,8.24,0.00,0.00,0.00,0.0000,73.560,0
2703,7,20,871,0.00,1.56,28,0.0000,8.70,1,1.22,15.00,8.24,0.00,0.00,0.00,0.0000,69.022,0
2807,7,20,960,0.00,1.55,28,0.0000,7.68,1,1.18,15.00,8.63,0.00,0.00,0.00,0.0000,64.030,0
2910,7,20,1026,0.00,1.54,28,0.0000,6.66,1,1.14,15.00,9.02,0.00,0.00,0.00,0.0000,61.386,0
3014,7,20,1047,0.00,1.53,28,0.0000,6.14,1,1.11,15.00,9.02,0.00,0.00,0.00,0.0000,58.362,0
3117,7,20,1081,0.00,1.52,28,0.0000,5.89,1,1.07,15.00,9.02,0.00,0.00,0.00,0.0000,56.354,0
3221,7,20,1116,0.00,1.51,28,0.0000,5.89,1,1.04,15.00,9.02,0.00,0.00,0.00,0.0000,54.233,0
3325,7,20,1127,0.00,1.51,28,0.0000,5.63,1,1.01,15.00,9.02,0.00,0.00,0.00,0.0000,52.962,0
3430,7,20,1112,0.00,1.46,28,0.0000,5.38,1,0.98,15.00,9.02,0.00,0.00,0.00,0.0000,52.758,0
3533,7,20,1106,0.00,1.45,28,0.0000,5.12,1,0.95,15.00,9.02,0.00,0.00,0.00,0.0000,51.856,0
3637,7,20,1081,0.00,1.42,28,0.0000,5.12,1,0.94,15.00,9.02,0.00,0.00,0.00,0.0000,51.425,0
3741,7,20,1064,0.00,1.41,28,0.0000,4.86,1,0.92,15.00,9.02,0.00,0.00,0.00,0.0000,51.640,0
3845,7,20,1048,0.00,1.41,28,0.0000,4.86,1,0.91,15.00,9.02,0.00,0.00,0.00,0.0000,51.958,0
3949,7,20,1045,0.00,1.38,28,0.0000,4.86,1,0.90,15.00,9.02,0.00,0.00,0.00,0.0000,52.440,0
4053,7,20,1041,0.00,1.38,28,0.0000,4.61,1,0.90,15.00,9.02,0.00,0.00,0.00,0.0000,51.742,0
4157,7,20,1038,0.00,1.35,28,0.0000,4.61,1,0.89,15.00,9.02,0.00,0.00,0.00,0.0000,52.491,0
4261,7,20,1039,0.00,1.35,28,0.0000,4.61,1,0.89,15.00,9.02,0.00,0.00,0.00,0.0000,51.958,0
4364,7,20,1036,0.00,1.33,28,0.0000,4.61,1,0.89,15.00,9.02,0.00,0.00,0.00,0.0000,51.793,0
4469,7,20,1036,0.00,1.33,28,0.0000,4.61,1,0.89,15.00,9.02,0.00,0.00,0.00,0.0000,52.491,0
4572,7,20,1038,0.00,1.33,28,0.0000,4.61,1,0.89,15.00,9.41,0.00,0.00,0.00,0.0000,52.746,0
4676,7,20,1047,0.00,1.31,28,0.0000,4.61,1,0.89,15.00,10.20,0.00,0.00,0.00,0.0000,55.084,0
4781,7,20,1062,0.00,1.32,28,0.0000,4.61,1,0.91,15.00,10.20,0.00,0.00,0.00,0.0000,55.186,0
4885,7,20,1077,0.00,1.30,28,0.0000,4.61,1,0.92,15.00,10.20,0.00,0.00,0.00,0.0000,55.401,0
4988,7,20,1095,0.00,1.30,28,0.0000,4.61,1,0.93,15.00,10.20,0.00,0.00,0.00,0.0000,55.186,0
5092,7,20,1116,0.00,1.30,28,0.0000,4.61,1,0.93,15.00,10.59,0.00,0.00,0.00,0.0000,55.186,0
5197,7,20,1136,0.00,1.29,28,0.0000,4.61,1,0.94,15.00,10.59,0.00,0.00,0.00,0.0000,55.135,0
5301,7,20,1159,0.00,1.29,28,0.0000,4.61,1,0.95,15.00,10.59,0.00,0.00,0.00,0.0000,54.766,0
5405,7,20,1183,0.00,1.27,28,0.0000,4.61,1,0.95,15.00,10.59,0.00,0.00,0.00,0.0000,54.182,0
5508,7,20,1206,0.00,1.27,28,0.0000,4.61,1,0.95,15.00,10.59,0.00,0.00,0.00,0.0000,53.864,0
5612,7,20,1226,0.00,1.26,28,0.0000,4.61,1,0.95,15.00,10.59,0.00,0.00,0.00,0.0000,53.495,0
5716,7,20,1238,0.00,1.26,28,0.0000,4.61,1,0.95,15.00,10.59,0.00,0.00,0.00,0.0000,52.962,0
5820,7,20,1260,0.00,1.25,28,0.0000,4.35,1,0.94,15.00,10.59,0.00,0.00,0.00,0.0000,52.758,0
5924,7,20,1269,0.00,1.24,28,0.0000,4.35,1,0.93,15.00,10.59,0.00,0.00,0.00,0.0000,51.425,0
6029,7,20,1270,0.00,1.24,28,0.0000,4.35,1,0.93,15.00,10.59,0.00,0.00,0.00,0.0000,51.271,0
6135,7,20,1276,0.00,1.22,28,0.0000,4.35,1,0.92,15.00,10.59,0.00,0.00,0.00,0.0000,50.954,0
6239,7,20,1281,0.00,1.22,28,0.0000,4.35,1,0.91,15.00,10.59,0.00,0.00,0.00,0.0000,50.205,0
6342,7,20,1293,0.00,1.21,28,0.0000,4.10,1,0.91,15.00,10.59,0.00,0.00,0.00,0.0000,50.687,0
6447,7,20,1286,0.00,1.21,28,0.0000,4.10,1,0.90,15.00,10.59,0.00,0.00,0.00,0.0000,50.852,0
6551,7,20,1290,0.00,1.20,28,0.0000,4.10,1,0.90,15.00,10.59,0.00,0.00,0.00,0.0000,50.369,0
6655,7,20,1290,0.00,1.19,28,0.0000,4.10,1,0.90,15.00,10.59,0.00,0.00,0.00,0.0000,49.887,0
6760,7,20,1302,0.00,1.18,28,0.0000,4.10,1,0.89,15.00,10.59,0.00,0.00,0.00,0.0000,50.318,0
6864,7,20,1309,0.00,1.18,28,0.0000,4.10,1,0.89,15.00,10.59,0.00,0.00,0.00,0.0000,50.001,0
6967,7,20,1311,0.00,1.18,28,0.0000,4.10,1,0.89,15.00,10.59,0.00,0.00,0.00,0.0000,50.001,0
7072,7,20,1318,0.00,1.17,28,0.0000,4.10,1,0.89,15.00,10.59,0.00,0.00,0.00,0.0000,49.734,0
7175,7,20,1331,0.00,1.17,28,0.0000,4.10,1,0.89,15.00,10.59,0.00,0.00,0.00,0.0000,49.467,0
7279,7,20,1326,0.00,1.17,28,0.0000,4.10,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.467,0
7383,7,20,1334,0.00,1.16,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.416,0
7487,7,20,1340,0.00,1.16,28,0.0000,4.10,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.416,0
7591,7,20,1342,0.00,1.15,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.150,0
7695,7,20,1337,0.00,1.13,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.416,0
7799,7,20,1342,0.00,1.15,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.467,0
7902,7,20,1345,0.00,1.15,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.734,0
8008,7,20,1356,15.36,1.14,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.416,0
8112,7,19,1366,15.15,1.14,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.365,0
8215,7,19,1365,15.12,1.14,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.150,0
8319,7,19,1369,15.12,1.14,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,48.565,0
8422,7,19,1385,15.13,1.13,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,48.565,0
8526,7,19,1379,15.10,1.13,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,49.314,0
8631,7,19,1386,15.11,1.11,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,48.730,0
8735,7,19,1386,15.13,1.11,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,48.514,0
8839,7,19,1391,15.11,1.11,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,48.514,0
8943,7,19,1405,15.10,1.11,28,0.0000,3.84,1,0.88,15.00,10.59,0.00,0.00,0.00,0.0000,48.781,0
9048,7,19,1400,14.87,1.10,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,48.730,0
9151,7,19,1406,15.10,1.10,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,48.248,0
9255,7,19,1412,15.14,1.10,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,48.412,0
9359,7,19,1420,15.12,1.10,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,48.412,0
9463,7,19,1409,15.12,1.10,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,48.197,0
9567,7,19,1411,15.13,1.10,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,48.146,0
9672,7,19,1418,15.11,1.09,28,0.0000,3.84,1,0.87,15.00,10.59,0.00,0.00,0.00,0.0000,47.828,0
9776,7,19,1419,15.11,1.09,28,0.0000,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,47.510,0
9881,7,19,1416,15.13,1.09,28,0.0000,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,47.726,0
9986,7,19,1410,15.12,1.09,28,0.0000,3.58,1,0.86,15.00,10.59,0.00,0.00,0.00,0.0000,46.977,0
