Time (msec),Accelerator Pedal Angle (%),Battery Voltage (V),CL/OL Fueling* (status),Combined Throttle Request (D2WD610H diagnostic)* (%),Coolant Temperature (C),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (kPa),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.56,42944,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
105,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.54,43072,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
209,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.57,43072,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
312,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.50,41344,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
416,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.31,41344,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
520,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.55,43072,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
625,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.57,43008,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
728,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.56,42944,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
833,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.55,43008,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
936,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.56,43136,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
1039,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.58,43200,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
1144,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.56,42944,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
1248,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.54,43136,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
1352,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.57,43072,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
1455,0.00,11.92,7,4.87,56,1000.0,1.31,0,16.57,42880,0.00,0.0000,0,0.00,39,96,2.60,5.10,0.0000
