Time (msec),CL/OL Fueling* (status),Coolant Temperature (C),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Intake Air Temperature (C),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor),Fuel Injector #1 Pulse Width (ms),Committed AVLS VE State (D2WD610H master)* (AVLS mode (1 low; 3 high)),Engine Load (4-Byte)* (g/rev),Ignition Total Timing (degrees),Throttle Opening Angle (%),Accelerator Pedal Angle (%),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (4-byte)* (degrees),IAM (4-byte)* (multiplier),SD Native MAP Input (D2WD610H diagnostic)* (kPa absolute),Vehicle Speed (km/h)
0,7,51,0,18.57,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
104,7,51,0,18.12,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
208,7,51,0,18.57,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
311,7,51,0,18.57,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
416,7,51,0,18.37,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,94.946,0
520,7,51,0,18.11,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
624,7,51,0,18.34,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
727,7,51,0,18.18,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,94.946,0
831,7,51,0,18.29,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
936,7,51,0,18.12,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
1040,7,51,0,18.58,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
1143,7,51,0,18.57,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,94.946,0
1247,7,51,0,18.58,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
1352,7,51,0,18.58,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
1455,7,51,0,18.57,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
1559,7,51,0,18.58,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
1663,7,51,0,18.58,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,95.162,0
1767,7,51,0,18.50,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,94.946,0
1870,7,51,0,11.15,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,94.527,0
1975,7,51,0,0.00,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,93.891,0
2080,7,51,0,0.00,0.00,42,0.0000,0.00,1,1.34,0.00,5.10,0.00,0.00,0.00,1.0000,93.154,0
2183,7,51,0,0.00,1.01,42,0.0000,1.02,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,93.256,0
2287,7,51,0,0.00,1.01,42,0.0000,1.28,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,91.667,0
2390,7,51,298,0.00,1.19,42,0.0000,1.28,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,85.745,0
2494,7,51,428,0.00,1.19,42,0.0000,1.02,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,79.913,0
2599,7,51,366,15.54,1.19,42,0.0000,4.10,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,77.690,0
2703,7,51,429,0.00,1.19,42,0.0000,3.58,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,74.513,0
2806,7,51,392,0.00,1.19,42,0.0000,3.58,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,73.662,0
2910,7,51,402,0.00,1.19,42,0.0000,3.58,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,73.344,0
3015,7,51,483,0.00,1.19,42,0.0000,3.58,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,71.450,0
3118,7,51,454,0.00,1.19,42,0.0000,3.33,1,1.34,15.00,5.10,0.00,0.00,0.00,0.0000,68.795,0
3222,7,51,547,0.00,1.27,42,0.0000,3.33,1,1.05,15.00,5.10,0.00,0.00,0.00,0.0000,64.716,0
3326,7,51,672,0.00,1.25,42,0.0000,4.86,1,1.02,15.00,5.10,0.00,0.00,0.00,0.0000,60.700,0
3431,7,51,749,0.00,1.24,42,0.0000,4.86,1,0.99,15.00,5.10,0.00,0.00,0.00,0.0000,55.452,0
3534,7,51,786,0.00,1.23,42,0.0000,4.61,1,0.96,15.00,5.49,0.00,0.00,0.00,0.0000,51.958,0
3638,7,51,815,0.00,1.22,42,0.0000,4.35,1,0.93,15.00,5.49,0.00,0.00,0.00,0.0000,49.263,0
3742,7,51,824,0.00,1.18,42,0.0000,4.10,1,0.89,15.00,5.49,0.00,0.00,0.00,0.0000,46.506,0
3846,7,51,819,0.00,1.18,42,0.0000,4.10,1,0.86,15.00,5.49,0.00,0.00,0.00,0.0000,45.020,0
3949,7,51,809,0.00,1.17,42,0.0000,3.84,1,0.83,15.00,5.88,0.00,0.00,0.00,0.0000,44.436,0
4053,7,51,783,0.00,1.17,42,0.0000,3.84,1,0.81,15.00,5.88,0.00,0.00,0.00,0.0000,44.651,0
4158,7,51,782,0.00,1.16,42,0.0000,3.84,1,0.79,15.00,5.88,0.00,0.00,0.00,0.0000,45.236,0
4262,7,51,766,0.00,1.16,42,0.0000,3.58,1,0.77,15.00,5.88,0.00,0.00,0.00,0.0000,45.604,0
4365,7,51,761,0.00,1.14,42,0.0000,3.58,1,0.77,15.00,5.88,0.00,0.00,0.00,0.0000,45.655,0
4469,7,51,772,0.00,1.14,42,0.0000,3.58,1,0.76,15.00,5.88,0.00,0.00,0.00,0.0000,45.973,0
4573,7,51,776,0.00,1.13,41,0.0000,3.58,1,0.76,15.00,5.88,0.00,0.00,0.00,0.0000,45.922,0
4678,7,51,786,0.00,1.13,41,0.0000,3.58,1,0.75,15.00,5.88,0.00,0.00,0.00,0.0000,45.871,0
4781,7,51,797,0.00,1.12,41,0.0000,3.58,1,0.75,15.00,5.88,0.00,0.00,0.00,0.0000,46.087,0
