Time (msec),Accelerator Pedal Angle (%),Battery Voltage (V),CL/OL Fueling* (status),Combined Throttle Request (D2WD610H diagnostic)* (%),Coolant Temperature (C),Effective Idle Speed Target (D2WD610H diagnostic)* (rpm),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),External Wideband AFR (D2WD610H master)* (estimated AFR (14.64 stoich)),External Wideband Input ADC (D2WD610H master)* (ADC counts),Final Fueling Base (4-byte)* (fuel-air equivalence ratio),Fuel Injector #1 Pulse Width (4-byte)* (ms),Idle Air Feedback Flags (D2WD610H diagnostic)* (raw flags),Ignition Total Timing (degrees),Intake Air Temperature (C),Manifold Absolute Pressure (kPa),Mass Airflow (g/s),Throttle Opening Angle (%),Transient Load Fuel Correction (D2WD610H diagnostic)* (raw additive factor)
0,0.00,14.24,7,4.49,69,850.0,0.49,902,15.04,33088,1.03,1.6618,9,15.00,30,31,7.38,4.31,0.0000
103,0.00,14.24,7,4.56,69,850.0,0.49,896,15.06,33152,1.03,1.6538,9,15.00,30,30,7.22,4.31,0.0000
207,0.00,14.24,7,4.47,68,850.0,0.49,893,15.07,33216,1.03,1.6398,9,15.00,30,30,7.08,4.71,0.0000
310,0.00,14.24,7,4.43,68,850.0,0.48,886,15.06,33152,1.03,1.6293,9,15.00,30,30,6.93,4.71,0.0000
415,0.00,14.24,7,4.46,68,850.0,0.48,870,15.03,32832,1.03,1.6198,9,15.00,30,30,6.94,4.71,0.0000
519,0.00,14.24,7,4.44,68,850.0,0.48,862,14.80,31616,1.03,1.6153,9,15.00,30,30,6.89,4.71,0.0000
622,0.00,14.32,7,4.46,68,850.0,0.48,854,15.08,33344,1.03,1.6110,9,15.00,30,30,6.86,4.71,0.0000
726,0.00,14.32,7,4.45,68,850.0,0.48,853,15.06,33088,1.03,1.6098,9,15.00,30,31,6.80,4.71,0.0000
831,0.00,14.16,7,4.39,68,850.0,0.48,851,15.05,33152,1.03,1.6118,9,15.00,30,31,6.86,4.71,0.0000
934,0.00,14.24,7,4.41,68,850.0,0.48,843,15.08,33472,1.03,1.6150,9,15.00,30,31,6.85,4.71,0.0000
1039,0.00,14.16,7,4.37,68,850.0,0.48,846,15.07,33216,1.03,1.6215,9,15.00,30,31,6.87,4.71,0.0000
1142,0.00,14.32,7,4.44,68,850.0,0.48,846,15.05,33024,1.03,1.6278,9,15.00,30,31,6.89,4.71,0.0000
1246,0.00,14.32,7,4.42,68,850.0,0.49,847,15.04,33088,1.03,1.6320,9,15.00,30,31,6.90,4.71,0.0000
1350,0.00,14.16,7,4.41,68,850.0,0.49,847,15.07,33088,1.03,1.6400,9,15.00,30,31,7.01,4.71,0.0000
1454,0.00,14.24,7,4.35,68,850.0,0.49,852,15.09,33280,1.03,1.6473,9,15.00,30,31,6.95,4.71,0.0017
1558,0.00,14.24,7,4.38,68,850.0,0.49,853,15.29,34688,1.03,1.6525,9,15.00,30,31,7.04,4.71,0.0018
1662,0.00,14.32,7,4.35,68,850.0,0.49,857,15.05,33024,1.03,1.6542,9,15.00,30,31,7.08,4.71,0.0019
1766,0.00,14.24,7,4.36,68,850.0,0.49,855,15.05,33024,1.03,1.6530,9,15.00,30,31,7.01,4.71,0.0017
1869,0.00,14.24,7,4.35,68,850.0,0.49,858,15.09,33280,1.03,1.6533,9,15.00,30,31,7.01,4.31,0.0016
1974,0.00,14.16,7,4.34,68,850.0,0.49,857,15.06,33024,1.03,1.6525,9,15.00,30,31,7.01,4.71,0.0015
2078,0.00,14.32,7,4.35,68,850.0,0.49,860,15.05,33152,1.03,1.6460,9,15.00,30,31,7.03,4.31,0.0000
2181,0.00,14.24,7,4.33,68,850.0,0.49,857,15.08,33280,1.03,1.6430,9,15.00,30,31,6.92,4.31,0.0000
2286,0.00,14.16,7,4.33,68,850.0,0.49,858,15.08,33408,1.03,1.6387,9,15.00,30,31,6.94,4.31,0.0000
2391,0.00,14.24,7,4.35,68,850.0,0.49,855,15.06,33024,1.03,1.6362,9,15.00,30,31,6.93,4.31,0.0000
2494,0.00,14.32,7,4.33,68,850.0,0.49,856,15.02,32960,1.03,1.6298,9,15.00,30,31,6.94,4.31,0.0000
2599,0.00,14.24,7,4.33,68,850.0,0.49,853,14.82,31488,1.03,1.6280,9,15.00,30,31,6.91,4.31,0.0000
2702,0.00,14.16,7,4.29,68,850.0,0.48,852,15.05,33024,1.03,1.6222,9,15.00,30,31,6.82,4.31,0.0000
2807,0.00,14.24,7,4.29,68,850.0,0.48,849,14.54,29888,1.03,1.6188,9,15.00,29,31,6.79,4.31,0.0000
2912,0.00,14.16,7,4.28,68,850.0,0.48,849,14.53,29888,1.03,1.6160,9,15.00,29,31,6.80,4.31,0.0000
3015,0.00,14.32,7,4.27,68,850.0,0.48,849,14.54,29824,1.03,1.6142,9,15.00,29,31,6.79,4.31,0.0000
3120,0.00,14.24,7,4.25,68,850.0,0.48,850,14.55,29696,1.03,1.6145,9,15.00,29,31,6.80,4.31,0.0000
3225,0.00,14.16,7,4.26,68,850.0,0.48,847,14.53,29888,1.03,1.6170,9,15.00,29,31,6.84,4.31,0.0000
3328,0.00,14.08,7,4.24,68,850.0,0.48,843,14.53,29696,1.02,1.6188,9,15.00,29,31,6.86,4.31,0.0000
